Column_1,Column_2,Column_3,Column_4,Column_5
716,呲,8,金
717,词,12,金
718,辞,13,金
719,慈,14,金
720,磁,15,土
721,瓷,11,金
722,兹,12,金
723,茨,12,木
724,雌,13,金
725,祠,10,金
726,茈,11,木
727,鹚,21,金
728,此,6,金
729,次,6,金
730,赐,15,金
731,伺,7,金
732,从,11,火
733,聪,17,金
734,葱,17,木
735,囱,7,r
736,苁,17,木
737,骢,21,金
738,璁,16,金
739,枞,15,木
740,丛,18,火
741,琮,13,金
742,淙,12,水
743,凑,13,火
744,楱,13,r
745,辏,16,火
746,腠,15,火
747,粗,11,金
748,徂,8,火
749,殂,9,金
750,促,9,金
751,簇,17,木
752,醋,15,金
753,卒,8,金
754,猝,12,金
755,蹴,19,金
756,蹙,18,金
757,蔟,17,木
758,酢,12,金
759,撺,22,金
760,攒,23,金
761,窜,18,金
762,篡,16,木
763,爨,29,金
764,衰,10,金
765,催,13,金
766,摧,15,金
767,崔,11,木
768,隹,8,火
769,榱,14,木
770,璀,16,金
771,脆,12,金
772,粹,14,金
773,萃,14,木
774,翠,14,金
775,瘁,13,金
776,悴,12,金
777,淬,12,水
778,毳,12,金
779,啐,11,金
780,村,7,木
781,皴,12,金
782,存,6,金
783,蹲,19,火
784,忖,7,金
785,寸,3,金
786,搓,14,金
787,撮,16,金
788,磋,15,土
789,蹉,17,金
790,嵯,13,金
791,矬,12,金
792,痤,12,金
793,鹾,21,金
794,脞,13,金
795,错,16,金
796,措,12,金
797,挫,11,金
798,厝,10,金
799,锉,15,金
800,答,12,木
801,搭,14,火
802,嗒,13,火
803,耷,9,火
804,褡,16,火
805,哒,16,火
806,打,6,火
807,达,16,火
808,沓,17,火
809,鞑,22,火
810,怛,9,火
811,笪,11,木
812,靼,14,火
813,妲,8,火
814,大,3,火
815,塔,13,火
816,疸,10,火
817,待,9,火
818,逮,15,火
819,歹,4,水
820,代,5,火
821,带,11,火
822,戴,18,火
823,袋,11,火
824,贷,12,火
825,殆,9,火
826,黛,17,火
827,怠,9,火
828,玳,10,火
829,岱,8,火
830,迨,12,火
831,骀,15,火
832,绐,11,火
833,埭,11,土
834,担,17,火
835,丹,4,火
836,耽,10,火
837,眈,9,火
838,殚,16,火
839,箪,18,木
840,儋,15,火
841,瘅,17,火
842,聃,11,火
843,郸,19,火
844,胆,19,火
845,掸,16,火
846,赕,15,火
847,但,7,火
848,石,5,金
849,弹,15,火
850,淡,12,水
851,旦,5,火
852,蛋,11,火
853,诞,14,土
854,惮,16,火
855,啖,11,火
856,澹,17,水
857,萏,14,木
858,当,13,火
859,裆,19,火
860,党,20,火
861,挡,17,火
862,谠,27,火
863,荡,18,水
864,档,17,木
865,宕,8,火
866,菪,14,木
867,砀,14,火
868,刀,2,金
869,叨,5,火
870,忉,6,火
871,导,16,火
872,倒,10,火
873,岛,10,火
874,蹈,17,火
875,捣,14,火
876,祷,19,金
877,到,8,火
878,道,16,火
879,悼,12,火
880,盗,12,火
881,稻,15,木
882,焘,18,火
883,纛,25,火
884,得,11,金
885,德,15,火
886,的,8,火
887,地,6,土
888,底,8,火
889,登,12,火
890,灯,16,火
891,蹬,19,木
892,噔,15,木
893,簦,18,木
894,等,12,木
895,邓,19,火
896,凳,14,木
897,瞪,17,木
898,磴,17,土
899,镫,20,金
900,嶝,15,土
901,提,13,火
902,低,7,火
903,滴,15,水
904,堤,12,土
905,嘀,14,火
906,氐,5,火
907,镝,19,金
908,羝,11,火
909,敌,15,火
910,迪,12,火
911,笛,11,木
912,涤,14,水
913,狄,8,火
914,嫡,14,火
915,翟,14,土
916,荻,13,木
917,籴,22,火
918,觌,22,火
919,抵,9,火
920,诋,12,火
921,邸,12,火
922,砥,10,土
923,柢,9,木
924,骶,15,火
925,第,11,木
926,帝,9,火
927,弟,7,火
928,递,17,火
929,蒂,15,木
930,缔,15,火
931,谛,16,火
932,睇,12,火
933,棣,12,木
934,娣,10,火
935,绨,13,火
936,颠,19,金
937,滇,14,水
938,掂,12,火
939,癫,24,火
940,点,17,水
941,典,8,火
942,丶,1,r
943,电,13,火
944,店,8,火
945,甸,7,火
946,淀,17,水
947,垫,14,土
948,殿,13,火
949,奠,12,土
950,佃,7,火
951,玷,10,火
952,簟,18,木
953,坫,8,土
954,靛,16,r
955,钿,13,金
956,癜,18,火
957,阽,13,火
958,雕,16,金
959,刁,2,火
960,凋,10,金
961,貂,12,金
962,碉,13,土
963,鲷,19,火
964,鸟,11,土
965,调,15,火
966,掉,12,金
967,吊,6,火
968,钓,11,金
969,铫,14,金
970,爹,10,火
971,跌,12,火
972,叠,22,火
973,迭,12,木
974,碟,14,土
975,谍,16,火
976,蝶,15,火
977,喋,12,火
978,佚,7,土
979,牒,13,火
980,耋,12,火
981,蹀,16,火
982,堞,12,土
983,瓞,10,火
984,揲,13,火
985,垤,9,土
986,鲽,20,火
987,丁,2,火
988,盯,7,火
989,钉,10,金
990,叮,5,火
991,町,7,火
992,酊,9,火
993,疔,7,火
994,仃,4,火
995,耵,8,火
996,玎,7,火
997,顶,11,火
998,鼎,13,火
999,定,8,火
1000,订,9,火
1001,铤,15,金
1002,锭,16,金
1003,碇,13,土
1004,丢,6,金
1005,东,8,木
1006,冬,5,火
1007,岽,11,土
1008,鸫,19,火
1009,懂,17,木
1010,董,15,火
1011,硐,11,土
1012,动,11,火
1013,洞,10,水
1014,冻,10,火
1015,栋,12,木
1016,恫,10,火
1017,侗,8,火
1018,垌,9,土
1019,峒,9,土
1020,胴,12,火
1021,都,16,火
1022,兜,11,木
1023,篼,17,木
1024,斗,4,火
1025,抖,8,火
1026,陡,15,火
1027,蚪,10,火
1028,读,22,火
1029,豆,7,火
1030,逗,14,火
1031,窦,20,火
1032,痘,12,火
1033,督,13,火
1034,嘟,15,金
1035,独,17,金
1036,顿,13,火
1037,毒,8,金
1038,渎,19,水
1039,牍,19,金
1040,犊,19,金
1041,黩,27,金
1042,髑,23,金
1043,椟,19,木
1044,肚,9,土
1045,睹,14,金
1046,堵,12,金
1047,赌,16,火
1048,笃,16,木
1049,度,9,金
1050,渡,13,水
1051,杜,7,木
1052,妒,7,火
1053,镀,17,金
1054,芏,9,木
1055,蠹,24,火
1056,端,14,火
1057,短,12,火
1058,断,18,火
1059,段,9,火
1060,锻,17,金
1061,缎,15,火
1062,椴,13,木
1063,堆,11,土
1064,对,14,火
1065,队,17,火
1066,兑,7,金
1067,敦,12,火
1068,碓,13,土
1069,憝,16,火
1070,怼,18,火
1071,镦,20,金
1072,吨,16,火
1073,墩,15,土
1074,盹,9,火
1075,趸,20,火
1076,盾,9,火
1077,钝,12,金
1078,炖,16,火
1079,遁,16,火
1080,沌,8,水
1081,囤,7,火
1082,多,6,火
1083,咄,8,火
1084,哆,9,火
1085,掇,12,火
1086,裰,14,火
1087,夺,14,火
1088,踱,16,火
1089,铎,21,金
1090,朵,6,木
1091,躲,13,火
1092,垛,9,土
1093,缍,14,r
1094,舵,11,火
1095,堕,15,土
1096,惰,13,火
1097,驮,13,火
1098,沲,9,水
1099,柁,9,木
1100,婀,11,木
1101,屙,11,木
1102,额,18,木
1103,俄,9,木
1104,哦,10,火
1105,鹅,18,木
1106,娥,10,水
1107,峨,10,土
1108,蛾,13,木
1109,讹,11,水
1110,莪,13,木
1111,锇,15,金
1112,恶,12,土
1113,饿,16,木
1114,扼,8,木
1115,愕,13,木
1116,遏,16,木
1117,噩,16,木
1118,呃,7,木
1119,厄,4,土
1120,鄂,16,木
1121,轭,11,木
1122,颚,18,木
1123,鳄,27,木
1124,谔,16,木
1125,锷,17,金
1126,萼,15,木
1127,腭,24,木
1128,垩,11,土
1129,鹗,20,木
1130,阏,16,木
1131,诶,14,火
1132,恩,10,土
1133,蒽,16,木
1134,而,6,金
1135,儿,8,金
1136,鸸,17,火
1137,鲕,17,火
1138,尔,14,火
1139,耳,6,火
1140,迩,21,火
1141,饵,15,火
1142,洱,10,水
1143,珥,11,火
1144,铒,14,金
1145,二,2,火
1146,贰,12,金
1147,佴,8,火
1148,发,12,水
1149,罚,15,金
1150,乏,5,金
1151,伐,6,水
1152,阀,14,金
1153,筏,12,木
1154,垡,9,土
1155,法,9,水
1156,砝,10,土
1157,翻,18,水
1158,番,12,水
1159,帆,6,水
1160,藩,21,水
1161,幡,15,水
1162,蕃,18,木
1163,凡,3,水
1164,烦,13,火
1165,繁,17,水
1166,泛,9,水
1167,樊,15,木
1168,燔,16,火
1169,矾,20,土
1170,蘩,23,木
1171,钒,11,金
1172,蹯,19,水
1173,反,4,水
1174,返,11,水
1175,饭,13,水
1176,犯,6,水
1177,范,15,水
1178,贩,11,水
1179,梵,11,木
1180,畈,9,水
1181,方,4,水
1182,芳,10,木
1183,妨,7,水
1184,坊,7,土
1185,邡,11,水
1186,枋,8,木
1187,钫,12,金
1188,房,8,水
1189,防,12,水
1190,肪,10,水
1191,鲂,15,水
1192,访,11,水
1193,仿,6,水
1194,纺,10,水
1195,彷,7,水
1196,舫,10,水
1197,放,8,水
1198,非,8,水
1199,飞,9,水
1200,啡,11,水
1201,菲,14,木
1202,扉,12,水
1203,霏,16,水
1204,妃,6,水
1205,绯,14,水
1206,蜚,14,水
1207,鲱,19,水
1208,肥,10,水
1209,腓,14,水
1210,淝,12,水
1211,匪,10,水
1212,诽,15,水
1213,斐,12,水
1214,翡,14,水
1215,悱,12,水
1216,篚,16,木
1217,榧,14,木
1218,费,12,土
1219,废,15,土
1220,沸,9,水
1221,肺,10,水
1222,吠,7,水
1223,痱,13,土
1224,狒,9,水
1225,芾,10,r
1226,分,4,水
1227,纷,10,水
1228,氛,8,水
1229,芬,10,木
1230,吩,7,水
1231,坟,15,土
1232,焚,12,火
1233,汾,8,水
1234,棼,12,木
1235,鼢,17,水
1236,粉,10,木
1237,份,6,水
1238,奋,16,水
1239,愤,16,水
1240,粪,17,水
1241,忿,8,水
1242,偾,14,水
1243,瀵,21,水
1244,风,9,水
1245,封,9,水
1246,丰,18,火
1247,峰,10,水
1248,疯,14,水
1249,锋,15,金
1250,蜂,13,水
1251,枫,13,木
1252,烽,11,火
1253,酆,25,水
1254,葑,15,木
1255,沣,22,水
1256,逢,14,水
1257,缝,17,水
1258,冯,12,水
1259,讽,16,水
1260,唪,11,水
1261,奉,8,水
1262,凤,14,水
1263,俸,10,水
1264,佛,7,水
1265,否,7,水
1266,缶,6,水
1267,夫,4,水
1268,肤,17,水
1269,敷,15,金
1270,孵,13,水
1271,呋,7,水
1272,稃,12,水
1273,麸,15,水
1274,趺,11,水
1275,跗,12,水
1276,服,7,水
1277,福,14,水
1278,幅,12,水
1279,伏,6,水
1280,符,11,木
1281,浮,11,水
1282,扶,8,水
1283,弗,5,水
1284,袱,12,水
1285,俘,9,水
1286,芙,10,木
1287,孚,7,水
1288,匐,11,水
1289,辐,16,金
1290,涪,12,水
1291,桴,11,木
1292,蜉,13,r
1293,苻,11,木
1294,茯,12,木
1295,莩,13,木
1296,菔,14,木
1297,幞,18,水
1298,怫,9,水
1299,艴,11,水
1300,郛,14,水
1301,绂,11,水
1302,绋,11,水
1303,凫,13,水
1304,祓,10,水
1305,砩,10,土
1306,黻,16,水
1307,罘,10,水
1308,蚨,10,水
1309,蝠,15,水
1310,府,8,水
1311,父,4,水
1312,腐,14,水
1313,抚,16,水
1314,辅,14,水
1315,甫,7,水
1316,俯,10,水
1317,斧,8,木
1318,脯,13,水
1319,釜,10,水
1320,腑,14,水
1321,拊,9,水
1322,滏,14,水
1323,黼,19,水
1324,复,15,水
1325,负,9,水
1326,副,11,金
1327,富,12,水
1328,付,5,水
1329,妇,11,水
1330,附,13,土
1331,赴,9,火
